term	alps_release	FBbt	reference
DNb04		FBbt:00047585	FlyBase:FBrf0239335
DNb05		FBbt:00047586	FlyBase:FBrf0239335
DNb06		FBbt:00047587	FlyBase:FBrf0239335
DNg01		FBbt:00047593	FlyBase:FBrf0239335
DNg02		FBbt:00047594	FlyBase:FBrf0239335
DNg03		FBbt:00047595	FlyBase:FBrf0239335
DNg04		FBbt:00047596	FlyBase:FBrf0239335
DNg05		FBbt:00047597	FlyBase:FBrf0239335
DNg06		FBbt:00047598	FlyBase:FBrf0239335
DNg07		FBbt:00047599	FlyBase:FBrf0239335
DNg08		FBbt:00047600	FlyBase:FBrf0239335
DNg09		FBbt:00047601	FlyBase:FBrf0239335
DNg10		FBbt:00047602	FlyBase:FBrf0239335
DNg11		FBbt:00047603	FlyBase:FBrf0239335
DNg12		FBbt:00047604	FlyBase:FBrf0239335
DNg13		FBbt:00047605	FlyBase:FBrf0239335
DNg14		FBbt:00047606	FlyBase:FBrf0239335
DNg15		FBbt:00047607	FlyBase:FBrf0239335
DNg16		FBbt:00047608	FlyBase:FBrf0239335
DNg17		FBbt:00047609	FlyBase:FBrf0239335
DNg18		FBbt:00047610	FlyBase:FBrf0239335
DNg19		FBbt:00047611	FlyBase:FBrf0239335
DNg20		FBbt:00047612	FlyBase:FBrf0239335
DNg21		FBbt:00047613	FlyBase:FBrf0239335
DNg22		FBbt:00047614	FlyBase:FBrf0239335
DNg23		FBbt:00047615	FlyBase:FBrf0239335
DNg24		FBbt:00047616	FlyBase:FBrf0239335
DNg25		FBbt:00047617	FlyBase:FBrf0239335
DNg26		FBbt:00047618	FlyBase:FBrf0239335
DNg27		FBbt:00047619	FlyBase:FBrf0239335
DNg28		FBbt:00047620	FlyBase:FBrf0239335
DNg29		FBbt:00047621	FlyBase:FBrf0239335
DNg30		FBbt:00047622	FlyBase:FBrf0239335
DNg31		FBbt:00047623	FlyBase:FBrf0239335
DNg32		FBbt:00047624	FlyBase:FBrf0239335
DNg33		FBbt:00047625	FlyBase:FBrf0239335
DNg34		FBbt:00047626	FlyBase:FBrf0239335
DNg35		FBbt:00047627	FlyBase:FBrf0239335
DNg36		FBbt:00047628	FlyBase:FBrf0239335
DNg37		FBbt:00047629	FlyBase:FBrf0239335
DNg38		FBbt:00047630	FlyBase:FBrf0239335
DNg39		FBbt:00047631	FlyBase:FBrf0239335
DNg40		FBbt:00047632	FlyBase:FBrf0239335
DNg41		FBbt:00047633	FlyBase:FBrf0239335
DNc01		FBbt:00047588	FlyBase:FBrf0239335
DNc02		FBbt:00047589	FlyBase:FBrf0239335
DNp01		FBbt:00047634	FlyBase:FBrf0239335
DNp02		FBbt:00047635	FlyBase:FBrf0239335
DNp03		FBbt:00047636	FlyBase:FBrf0239335
DNp04		FBbt:00047637	FlyBase:FBrf0239335
DNp05		FBbt:00047638	FlyBase:FBrf0239335
DNp06		FBbt:00047639	FlyBase:FBrf0239335
DNp07		FBbt:00047640	FlyBase:FBrf0239335
DNp08		FBbt:00047641	FlyBase:FBrf0239335
DNp09		FBbt:00047642	FlyBase:FBrf0239335
DNp10		FBbt:00047643	FlyBase:FBrf0239335
DNp11		FBbt:00047644	FlyBase:FBrf0239335
DNp12		FBbt:00047645	FlyBase:FBrf0239335
DNp13		FBbt:00047646	FlyBase:FBrf0239335
DNp14		FBbt:00047647	FlyBase:FBrf0239335
DNp15		FBbt:00047648	FlyBase:FBrf0239335
DNp16		FBbt:00047649	FlyBase:FBrf0239335
DNp17		FBbt:00047650	FlyBase:FBrf0239335
DNp18		FBbt:00047651	FlyBase:FBrf0239335
DNp19		FBbt:00047652	FlyBase:FBrf0239335
DNp20		FBbt:00047653	FlyBase:FBrf0239335
DNp21		FBbt:00047654	FlyBase:FBrf0239335
DNp22		FBbt:00047655	FlyBase:FBrf0239335
DNp23		FBbt:00047656	FlyBase:FBrf0239335
DNp24		FBbt:00047657	FlyBase:FBrf0239335
DNp25		FBbt:00047658	FlyBase:FBrf0239335
DNp26		FBbt:00047659	FlyBase:FBrf0239335
DNp27		FBbt:00047660	FlyBase:FBrf0239335
DNp28		FBbt:00047661	FlyBase:FBrf0239335
DNp29		FBbt:00047662	FlyBase:FBrf0239335
DNp30		FBbt:00047663	FlyBase:FBrf0239335
DNp31		FBbt:00047664	FlyBase:FBrf0239335
DNp32		FBbt:00047665	FlyBase:FBrf0239335
DNp33		FBbt:00047666	FlyBase:FBrf0239335
DNp34		FBbt:00047667	FlyBase:FBrf0239335
DNp35		FBbt:00047668	FlyBase:FBrf0239335
DNx01		FBbt:00047669	FlyBase:FBrf0239335
