np_type	FBbt_id	FBbt_name	pub	comment	notes	notes_2
LT52	FBbt:00003859	lobula tangential neuron			specificity	
LT53	FBbt:00003859	lobula tangential neuron			specificity	
LT54	FBbt:00003859	lobula tangential neuron			specificity	
LT55	FBbt:00003859	lobula tangential neuron			specificity	
LT56	FBbt:00003859	lobula tangential neuron			specificity	
LT57	FBbt:00003859	lobula tangential neuron			specificity	
LT58	FBbt:00003859	lobula tangential neuron			specificity	
LT59	FBbt:00003859	lobula tangential neuron			specificity	
LT60	FBbt:00003859	lobula tangential neuron			specificity	
LT61	FBbt:00003859	lobula tangential neuron			specificity	
LT62	FBbt:00003859	lobula tangential neuron			specificity	
LT63	FBbt:00003859	lobula tangential neuron			specificity	
LT64	FBbt:00003859	lobula tangential neuron			specificity	
LT65	FBbt:00003859	lobula tangential neuron			specificity	
LT66	FBbt:00003859	lobula tangential neuron			specificity	
LT67	FBbt:00003859	lobula tangential neuron			specificity	
LT68	FBbt:00003859	lobula tangential neuron			specificity	
LT69	FBbt:00003859	lobula tangential neuron			specificity	
LT70	FBbt:00003859	lobula tangential neuron			specificity	
LT71	FBbt:00003859	lobula tangential neuron			specificity	
LT72	FBbt:00003859	lobula tangential neuron			specificity	
LT73	FBbt:00003859	lobula tangential neuron			specificity	
LT74	FBbt:00003859	lobula tangential neuron			specificity	
LT75	FBbt:00003859	lobula tangential neuron			specificity	
LT76	FBbt:00003859	lobula tangential neuron			specificity	
LT77	FBbt:00003859	lobula tangential neuron			specificity	
LT78	FBbt:00003859	lobula tangential neuron			specificity	
LT79	FBbt:00003859	lobula tangential neuron			specificity	
LT80	FBbt:00003859	lobula tangential neuron			specificity	
LT81	FBbt:00003859	lobula tangential neuron			specificity	
LT82a	FBbt:00003859	lobula tangential neuron			specificity	
LT82b	FBbt:00003859	lobula tangential neuron			specificity	
LT83	FBbt:00003859	lobula tangential neuron			specificity	
LT84	FBbt:00003859	lobula tangential neuron			specificity	
LT85	FBbt:00003859	lobula tangential neuron			specificity	
LT86	FBbt:00003859	lobula tangential neuron			specificity	
LT87	FBbt:00003859	lobula tangential neuron			specificity	
M_adPNm3	FBbt:00100369	adult multiglomerular antennal lobe projection neuron adPN			specificity	
M_adPNm4	FBbt:00100369	adult multiglomerular antennal lobe projection neuron adPN			specificity	
M_adPNm5	FBbt:00100369	adult multiglomerular antennal lobe projection neuron adPN			specificity	
M_adPNm6	FBbt:00100369	adult multiglomerular antennal lobe projection neuron adPN			specificity	
M_adPNm7	FBbt:00100369	adult multiglomerular antennal lobe projection neuron adPN			specificity	
M_adPNm8	FBbt:00100369	adult multiglomerular antennal lobe projection neuron adPN			specificity	
M_ilPN8t91	FBbt:00007441	adult multiglomerular antennal lobe projection neuron			specificity	
M_ilPNm90	FBbt:00007441	adult multiglomerular antennal lobe projection neuron			specificity	
M_imPNl92	FBbt:00007441	adult multiglomerular antennal lobe projection neuron			specificity	
M_l2PN10t19	FBbt:00007441	adult multiglomerular antennal lobe projection neuron			specificity	
M_l2PN3t18	FBbt:00007441	adult multiglomerular antennal lobe projection neuron			specificity	
M_l2PNl20	FBbt:00007441	adult multiglomerular antennal lobe projection neuron			specificity	
M_l2PNl21	FBbt:00007441	adult multiglomerular antennal lobe projection neuron			specificity	
