term	FBbt	reference	in_file	FBbt_name
PAM-beta1ped	FBbt:00111021	FlyBase:FBrf0227179	old	dopaminergic PAM neuron 9
PAM11	FBbt:00111022		new	dopaminergic PAM neuron 11
PAM-alpha1	FBbt:00111022	FlyBase:FBrf0227179	old	dopaminergic PAM neuron 11
PAM13	FBbt:00111023		new	dopaminergic PAM neuron 13
PAM-beta'1 ap	FBbt:00111023	FlyBase:FBrf0227179	old	dopaminergic PAM neuron 13
PAM-beta'1 m	FBbt:00111024	FlyBase:FBrf0227179	old	dopaminergic PAM neuron 14
PAM14	FBbt:00111024		new	dopaminergic PAM neuron 14
gammamain KC	FBbt:00111061	FlyBase:FBrf0227179	old	gamma main Kenyon cell
KCg-m	FBbt:00111061		new	gamma main Kenyon cell
MBON16	FBbt:00111063		new	mushroom body vertical lobe arborizing neuron 2 alpha\' anterior-posterior
MBON-alpha'3ap	FBbt:00111063	FlyBase:FBrf0227179	old	mushroom body vertical lobe arborizing neuron 2 alpha\' anterior-posterior
MBON17	FBbt:00111064		new	mushroom body vertical lobe arborizing neuron 2 alpha\' middle
MBON-alpha'3m	FBbt:00111064	FlyBase:FBrf0227179	old	mushroom body vertical lobe arborizing neuron 2 alpha\' middle
