ID	CLASS_TYPE	RDF_Type	Symbol	ref1	Synonym_gr	ref2	Synonym_en	ref3
FBbt:00067063	subclass	owl:Class	ORN_DA2		ORN_DA2			
FBbt:00067033	subclass	owl:Class	ORN_DA3		ORN_DA3			
FBbt:00067048	subclass	owl:Class	ORN_DA4l		ORN_DA4l			
FBbt:00067001	subclass	owl:Class	ORN_DA4m		ORN_DA4m			
FBbt:00067018	subclass	owl:Class	ORN_DC1		ORN_DC1			
FBbt:00067016	subclass	owl:Class	ORN_DC2		ORN_DC2			
FBbt:00067047	subclass	owl:Class	ORN_DC3		ORN_DC3			
FBbt:00111210	subclass	owl:Class	ORN_DC4		ORN_DC4			
FBbt:00067013	subclass	owl:Class	ORN_DL1		ORN_DL1			
FBbt:00067011	subclass	owl:Class	ORN_DL3		ORN_DL3			
FBbt:00067055	subclass	owl:Class	ORN_DL4		ORN_DL4			
FBbt:00067005	subclass	owl:Class	ORN_DL5		ORN_DL5			
FBbt:00067046	subclass	owl:Class	ORN_DM1		ORN_DM1			
FBbt:00067025	subclass	owl:Class	ORN_DM2		ORN_DM2			
FBbt:00067054	subclass	owl:Class	ORN_DM3		ORN_DM3			
FBbt:00067003	subclass	owl:Class	ORN_DM4		ORN_DM4			
FBbt:00067049	subclass	owl:Class	ORN_DM5		ORN_DM5			
FBbt:00067020	subclass	owl:Class	ORN_DM6		ORN_DM6			
FBbt:00110013	subclass	owl:Class	ORN_DP1l		ORN_DP1l			
FBbt:00111212	subclass	owl:Class	ORN_DP1m		ORN_DP1m			
FBbt:00067064	subclass	owl:Class	ORN_V		ORN_V			
FBbt:00067057	subclass	owl:Class	ORN_VA1d		ORN_VA1d			
FBbt:00067056	subclass	owl:Class	ORN_VA1v		ORN_VA1v			
FBbt:00067059	subclass	owl:Class	ORN_VA2		ORN_VA2			
FBbt:00067023	subclass	owl:Class	ORN_VA3		ORN_VA3			
FBbt:00067051	subclass	owl:Class	ORN_VA4		ORN_VA4			
FBbt:00067061	subclass	owl:Class	ORN_VA5		ORN_VA5			
FBbt:00067044	subclass	owl:Class	ORN_VA6		ORN_VA6			
FBbt:00067052	subclass	owl:Class	ORN_VA7l		ORN_VA7l			
FBbt:00067036	subclass	owl:Class	ORN_VC1		ORN_VC1			
FBbt:00067041	subclass	owl:Class	ORN_VC2		ORN_VC2			
FBbt:00067027	subclass	owl:Class	ORN_VC4		ORN_VC4			
FBbt:00110015	subclass	owl:Class	ORN_VC5		ORN_VC5			
FBbt:00047054	subclass	owl:Class	ORN_VL1		ORN_VL1			
FBbt:00110007	subclass	owl:Class	ORN_VL2a		ORN_VL2a			
FBbt:00110010	subclass	owl:Class	ORN_VL2p		ORN_VL2p			
FBbt:00110012	subclass	owl:Class	ORN_VM1		ORN_VM1			
FBbt:00067050	subclass	owl:Class	ORN_VM2		ORN_VM2			
